Id,SalePrice
1461,115968.27676803578
1462,155596.82075028532
1463,179883.14853256932
1464,198002.33320671815
1465,192535.03063683206
1466,168120.59437714625
1467,176410.98266943396
1468,160984.059080647
1469,184725.39841048088
1470,116662.60865685093
1471,188106.40617311824
1472,99068.05374166247
1473,95499.74419495524
1474,144962.55428748662
1475,115305.58974191626
1476,356308.34224050597
1477,246513.18852421915
1478,272108.5069673408
1479,268020.62623394106
1480,521539.96663334395
1481,322961.89431714313
1482,207369.24891430177
1483,174923.00793189334
1484,168014.29100583564
1485,186236.93946922495
1486,193972.60523241025
1487,324436.89869116177
1488,227966.53763874187
1489,193592.3301734323
1490,236698.31404545344
1491,192901.20204385885
1492,91267.7114146107
1493,177900.84746757394
1494,281771.6607119536
1495,277254.69265676086
1496,234129.91354883055
1497,175996.35366073105
1498,167378.46631247576
1499,159415.85200879577
1500,153061.49506830235
1501,177471.6941105643
1502,147027.95246318582
1503,288829.995386803
1504,243514.8375945099
1505,225799.19961753016
1506,186707.922918952
1507,254279.45028324798
1508,201780.11308405933
1509,158265.7345796461
1510,144899.97576153182
1511,149648.0724299585
1512,173127.38981474668
1513,139575.63692062628
1514,157884.20862958132
1515,196891.90903728112
1516,154215.62184681764
1517,167595.95306373818
1518,130807.04173005803
1519,214813.626916572
1520,126089.23275850035
1521,128337.50127994297
1522,176325.7918477838
1523,109706.38654721677
1524,117665.1459967533
1525,121595.5196927168
1526,113316.48528950261
1527,104214.8844358361
1528,137954.44567449822
1529,150830.98636538186
1530,188592.3546353563
1531,106397.46525444684
1532,96960.15847728086
1533,146577.6183952331
1534,118904.57097953635
1535,149772.60474533643
1536,107556.55020992344
1537,63445.686053674675
1538,153023.74996905166
1539,185925.9719776217
1540,94073.87796116371
1541,137284.8812072837
1542,137581.17730829393
1543,187249.57920679846
1544,87310.99936546556
1545,115020.34681105276
1546,133276.4576062652
1547,132813.47611268368
1548,134688.26699587362
1549,119680.47711910564
1550,133898.44559760074
1551,107680.31394812229
1552,136550.39675194133
1553,145701.73360332806
1554,119224.63389799275
1555,161936.46735678645
1556,83790.7053487645
1557,102513.42892795667
1558,99813.11060942172
1559,78714.93413156006
1560,134091.56600367095
1561,122208.29635954567
1562,130572.8605378375
1563,118868.56174312091
